"State (x, y, carrying)",North,South,East,West,Pickup,Dropoff
"(1, 1, True)",-0.3,0.0,0.0,0.0,0.0,0.0
"(1, 2, True)",0.0,0.0,0.0,-0.3,0.0,0.0
"(1, 3, True)",-0.8319300000000001,0.0,0.0,0.0,0.0,0.0
"(1, 4, True)",-0.9423519899999997,0.0,0.0,-0.51,0.0,0.0
"(1, 5, True)",0.0,-0.7599,0.0,-0.9717524750999997,0.0,0.0
"(2, 1, True)",-0.51,0.0,0.0,0.0,0.0,0.0
"(2, 2, True)",-0.51,-0.51,0.0,-0.657,0.0,0.0
"(2, 3, True)",-0.657,-0.51,0.0,-0.657,0.0,0.0
"(2, 4, True)",-0.8363999999999999,-0.7334999999999999,-0.3,-0.8584499999999999,0.0,0.0
"(2, 5, True)",0.0,-0.7599,-1.0076579999999997,-0.9914324999999999,10.81509,0.0
"(3, 1, True)",-0.8823509999999999,0.0,0.0,-0.3,0.0,0.0
"(3, 2, True)",-0.5549999999999999,-0.9234749999999998,-0.5549999999999999,-1.0646684999999998,0.0,0.0
"(3, 3, True)",-0.5549999999999999,-0.657,-0.7334999999999999,-0.9726899999999998,0.0,0.0
"(3, 4, True)",-0.7402499999999999,-0.9234749999999999,-0.7334999999999999,-1.3667499999999992,0.0,0.0
"(3, 5, True)",0.0,-0.7599,-0.9963359999999999,-0.8823509999999999,0.0,0.0
"(4, 1, True)",-0.9176456999999998,0.0,-0.657,-0.7599,0.0,0.0
"(4, 2, True)",-0.8584499999999999,-1.0424352,-0.5549999999999999,-0.9459149999999998,10.716539999999998,0.0
"(4, 3, True)",-0.5932499999999999,-0.9791924999999999,-0.9234749999999999,-0.7649999999999999,0.0,0.0
"(4, 4, True)",-0.8049,-0.657,-1.1499999999999995,-0.3,0.0,0.0
"(4, 5, True)",0.0,-0.51,-0.9423519899999997,-0.657,0.0,0.0
"(5, 1, True)",-0.51,0.0,-0.8823509999999999,0.0,6.63,0.0
"(5, 2, True)",-0.7599,-0.9588509999999999,-0.8319300000000001,0.0,0.0,0.0
"(5, 3, True)",-0.3,-0.9423519899999997,-0.51,0.0,0.0,0.0
"(5, 4, True)",-0.3,-0.7599,-0.657,0.0,0.0,0.0
"(5, 5, True)",0.0,-0.3,-0.657,0.0,0.0,0.0
