"State (x, y, carrying)",North,South,East,West,Pickup,Dropoff
"(1, 1, False)",-0.9176456999999998,0.0,0.0,-0.657,0.0,9.8787
"(1, 2, False)",-0.9423519899999997,-0.8823509999999999,0.0,-0.51,0.0,0.0
"(1, 3, False)",-0.657,-0.9176456999999998,0.0,-0.657,0.0,6.584999999999999
"(1, 4, False)",-0.657,-0.90843,0.0,-0.3,0.0,0.0
"(1, 5, False)",0.0,-0.7599,0.0,0.0,0.0,0.0
"(2, 1, False)",-0.7599,0.0,-0.9423519899999997,-0.51,0.0,0.0
"(2, 2, False)",-0.7717499999999999,-1.0453904999999997,-0.5549999999999999,-0.8584499999999999,0.0,0.0
"(2, 3, False)",0.0,-0.657,-0.51,-0.7599,0.0,0.0
"(2, 4, False)",0.0,-0.51,-0.51,0.0,0.0,0.0
"(2, 5, False)",0.0,-0.51,-0.3,-0.51,0.0,0.0
"(3, 1, False)",-0.7599,0.0,-0.8319300000000001,-0.657,0.0,0.0
"(3, 2, False)",-0.51,-0.6884999999999999,-0.8823509999999999,0.0,0.0,0.0
"(3, 3, False)",-0.7599,-0.657,-0.3,0.0,0.0,0.0
"(3, 4, False)",-0.3,-0.657,-0.3,-0.3,0.0,0.0
"(3, 5, False)",0.0,-0.51,0.0,-0.3,0.0,0.0
"(4, 1, False)",0.0,0.0,-0.9423519899999997,0.0,0.0,0.0
"(4, 2, False)",-0.3,-0.7599,0.0,0.0,0.0,0.0
"(4, 3, False)",-0.3,0.0,0.0,-0.7599,0.0,0.0
"(4, 4, False)",-0.3,-0.51,0.0,-0.9999999999999996,0.0,0.0
"(4, 5, False)",0.0,0.0,-0.3,-0.657,0.0,0.0
"(5, 1, False)",-0.51,0.0,-0.3,0.0,0.0,0.0
"(5, 2, False)",-0.657,0.0,0.0,0.0,0.0,0.0
"(5, 3, False)",-0.9491456999999999,-0.3,-0.51,0.0,0.0,0.0
"(5, 4, False)",-0.8319300000000001,-0.7334999999999999,-0.9999999999999996,0.0,0.0,10.79304
"(5, 5, False)",0.0,-0.8823509999999999,-0.51,0.0,0.0,0.0
