"State (x, y, carrying)",North,South,East,West,Pickup,Dropoff
"(1, 1, True)",-0.9932177692715098,0.0,0.0,-0.9999678009424415,0.0,0.0
"(1, 2, True)",-1.01621591927151,-0.3,0.0,-0.9999889557232573,0.0,0.0
"(1, 3, True)",-1.024354078029682,-1.0095283459015838,0.0,-0.9999987006518853,0.0,0.0
"(1, 4, True)",-1.1352347063343258,-0.9903110989592998,0.0,-0.9999999911875213,0.0,0.0
"(1, 5, True)",0.0,-0.9999999743076422,0.0,-0.9999999999899545,0.0,0.0
"(2, 1, True)",-0.9998658931380333,0.0,0.0,-0.9999999938312649,0.0,0.0
"(2, 2, True)",-1.8964362272997977,-1.8361102015202668,-1.8596936933944503,-1.9002648034293155,0.0,0.0
"(2, 3, True)",-1.9388502527276525,-1.900087783236931,-1.9236714840416969,-1.9380409199741055,0.0,0.0
"(2, 4, True)",-1.9858445674327725,-1.9842443756695665,-1.983797920026028,-1.986443181343139,0.0,0.0
"(2, 5, True)",0.0,-0.9999842224617963,-1.0047909855521413,-1.0412587644268578,12.984679877707347,0.0
"(3, 1, True)",-0.9999998929930953,0.0,-1.0041231379023285,-1.000175053694594,0.0,0.0
"(3, 2, True)",-1.9841378890137862,-1.9913015430478576,-1.988973061226623,-1.991689118152165,0.0,0.0
"(3, 3, True)",-1.9816790814823877,-1.9790795518887716,-1.9726861352706127,-1.9775834251068773,0.0,0.0
"(3, 4, True)",-1.9906543272338335,-1.9848532891834991,-1.989270418392361,-1.9881853759415822,0.0,0.0
"(3, 5, True)",0.0,-0.9999922690062801,-1.0042977885459035,-1.1572423086050803,0.0,0.0
"(4, 1, True)",-0.9999999998780238,0.0,-1.0007194326290345,-1.0153990434520987,0.0,0.0
"(4, 2, True)",-1.995478473112237,-1.99722358135396,-1.9961655884175842,-1.9959799046585052,12.00297497360184,0.0
"(4, 3, True)",-1.9952458546237621,-1.9960742106543021,-1.9955210445490938,-1.9949138830995952,0.0,0.0
"(4, 4, True)",-1.9814457961059588,-1.988807862457909,-1.987424079686431,-1.98599610626274,0.0,0.0
"(4, 5, True)",0.0,-0.9999962118130772,-1.1543807885419197,-1.0002445228228807,0.0,0.0
"(5, 1, True)",-0.9999999999983114,0.0,-0.9999999999581621,0.0,12.99999716104131,0.0
"(5, 2, True)",-1.000000974024836,-1.0301504511013009,-0.9999999996443845,0.0,0.0,0.0
"(5, 3, True)",-1.076604815978352,-1.0000000659056496,-0.9999998929930953,0.0,0.0,0.0
"(5, 4, True)",-1.006101550155494,-1.0063426366323995,-0.9999999956818855,0.0,0.0,0.0
"(5, 5, True)",0.0,-0.9999945883043961,-0.9999999911875213,0.0,0.0,0.0
