"State (x, y, carrying)",North,South,East,West,Pickup,Dropoff
"(1, 1, True)",0.0,0.0,0.0,-0.7599,0.0,0.0
"(1, 2, True)",0.0,0.0,0.0,-0.3,0.0,0.0
"(1, 3, True)",-0.3,-0.3,0.0,-0.657,0.0,0.0
"(1, 4, True)",-0.3,0.0,0.0,-0.51,0.0,0.0
"(1, 5, True)",0.0,-0.51,0.0,-0.51,0.0,0.0
"(2, 1, True)",-0.922939905,0.0,0.0,-1.0000113381939624,0.0,0.0
"(2, 2, True)",-0.9226689720937499,-1.1293705186925875,0.0,-1.0108300426913268,0.0,0.0
"(2, 3, True)",-0.7334999999999999,-0.8589675,0.0,-0.8896568999999999,0.0,0.0
"(2, 4, True)",-0.9752602499999999,-0.3,0.0,-0.86622565125,0.0,0.0
"(2, 5, True)",0.0,-0.5549999999999999,-0.8042624999999999,-0.5549999999999999,10.673565,0.0
"(3, 1, True)",-1.0356649306497934,0.0,-1.151575758487066,-0.9955458676845,0.0,0.0
"(3, 2, True)",-0.7717499999999999,-1.4241124419534281,-1.4911439478458977,-1.3865260854170238,0.0,0.0
"(3, 3, True)",-1.3443794980473749,-1.5308839512056358,-0.8966999999999999,-1.31126251214625,0.0,0.0
"(3, 4, True)",-0.3,-1.10549926575,-0.8986813275,-1.0970636819587498,0.0,0.0
"(3, 5, True)",0.0,0.0,-0.8852249999999999,0.0,0.0,0.0
"(4, 1, True)",-1.1321081361748329,0.0,-1.0302404505553797,-1.1403880735486873,0.0,0.0
"(4, 2, True)",-1.9751352589061097,-1.9805612114855322,-1.9792785113429,-1.9640472441244934,10.58270930446875,0.0
"(4, 3, True)",-0.3,-1.3278411747493506,-1.1527166962914814,-1.035416827822616,0.0,0.0
"(4, 4, True)",-0.3,-0.7819499999999999,-0.9764054999999999,0.0,0.0,0.0
"(4, 5, True)",0.0,-0.345,-0.3,0.0,0.0,0.0
"(5, 1, True)",-0.8319300000000001,0.0,-0.9802267325699999,0.0,9.8787,0.0
"(5, 2, True)",-0.657,-1.0559991915,-1.1218189739679632,0.0,0.0,0.0
"(5, 3, True)",0.0,-0.882351,-0.8396895,0.0,0.0,0.0
"(5, 4, True)",-0.3,-0.51,-0.51,0.0,0.0,0.0
"(5, 5, True)",0.0,0.0,-0.3,0.0,0.0,0.0
