"State (x, y, carrying)",North,South,East,West,Pickup,Dropoff
"(1, 1, False)",-0.9976736948601279,0.0,0.0,-0.9999998929930956,0.0,9.8787
"(1, 2, False)",-1.0975741528513634,-1.385883692695009,0.0,-1.0163684467279919,0.0,0.0
"(1, 3, False)",-1.1090597517858591,-1.0002310307606603,0.0,-1.0255952708250486,0.0,10.7888505
"(1, 4, False)",-1.0005966867020173,-1.018964694145848,0.0,-1.017815298429379,0.0,0.0
"(1, 5, False)",0.0,-0.9996090178951418,0.0,-0.9999987006518856,0.0,0.0
"(2, 1, False)",-1.1272469611751486,0.0,-1.0021153516792338,-1.0196984089443495,0.0,0.0
"(2, 2, False)",-1.9099777212873652,-1.956544332585479,-1.9546544145714513,-1.958741003385074,0.0,0.0
"(2, 3, False)",-1.903085825933026,-1.8690517688722208,-1.92173778180272,-1.8533934794244962,0.0,0.0
"(2, 4, False)",-1.9834349964999738,-1.982224816691564,-1.9823563961202801,-1.966142940361079,0.0,0.0
"(2, 5, False)",0.0,-1.0665745499317252,-1.050445740807922,-1.0688570866642515,0.0,0.0
"(3, 1, False)",-1.0318175641016758,0.0,-1.005035616318591,-0.657,0.0,0.0
"(3, 2, False)",-1.0270707601034061,-1.4600877700553756,-1.4365570395789113,-0.8830587936262065,0.0,0.0
"(3, 3, False)",-1.784085715301734,-1.5080784835645065,-1.7333444370094153,-1.616915521006376,0.0,0.0
"(3, 4, False)",-1.9966788257959778,-1.9926043434756304,-1.9944002148584197,-1.9943268522460822,0.0,0.0
"(3, 5, False)",0.0,-1.0101730816424446,-1.0131375204240678,-1.0747593156046442,0.0,0.0
"(4, 1, False)",-0.3,0.0,-0.7819499999999999,0.0,0.0,0.0
"(4, 2, False)",-0.9589152885,0.0,-0.8319300000000001,-0.724337293275,0.0,0.0
"(4, 3, False)",-1.3103669883331122,-0.7717499999999999,-1.3996434755815133,-1.443891741231511,0.0,0.0
"(4, 4, False)",-1.9996581871180974,-1.9993799986217229,-1.9996300953026234,-1.9996990468001252,0.0,0.0
"(4, 5, False)",0.0,-1.009822557989258,-1.0741582892594042,-1.0147201612816634,0.0,0.0
"(5, 1, False)",-0.51,0.0,-0.51,0.0,0.0,0.0
"(5, 2, False)",-0.9176457,0.0,-0.897546855,0.0,0.0,0.0
"(5, 3, False)",-1.0432916223030368,-0.882351,-1.005704725407805,0.0,0.0,0.0
"(5, 4, False)",-1.1869842509037902,-0.945197175,-1.0613956891673817,0.0,0.0,10.73184
"(5, 5, False)",0.0,-0.9999999999999886,-0.9999999999975882,0.0,0.0,0.0
