"State (x, y, carrying)",North,South,East,West,Pickup,Dropoff
"(1, 1, False)",-0.9999999999741275,0.0,0.0,-0.9999999999999997,0.0,3.6075
"(1, 2, False)",-1.2214359999641873,-1.2571816927288595,0.0,-1.0332388330673723,0.0,0.0
"(1, 3, False)",-1.0994019794377654,-1.2210851593729433,0.0,-1.0337094662948545,0.0,7.2190494609375
"(1, 4, False)",-1.1241883170065143,-1.1499548459965305,0.0,-1.1126054195985622,0.0,0.0
"(1, 5, False)",0.0,-0.9997042353362874,0.0,-0.9989145873469535,0.0,0.0
"(2, 1, False)",-1.0190885815138566,0.0,-1.0460596139204705,-1.0672508831560592,0.0,0.0
"(2, 2, False)",-1.989369981364207,-1.9873234475391355,-1.989924544211288,-1.979917244541796,0.0,0.0
"(2, 3, False)",-1.943431053836456,-1.9636649471889123,-1.9712876963586217,-1.9570467671178846,0.0,0.0
"(2, 4, False)",-1.9299654443188479,-1.8543226397519397,-1.9140008593708917,-1.9016640263855393,0.0,0.0
"(2, 5, False)",0.0,-1.0485819043017917,-1.0915109125582017,-1.2359582059554972,0.0,0.0
"(3, 1, False)",-1.0382346915853515,0.0,-1.0521262639717286,-0.797939568482615,0.0,0.0
"(3, 2, False)",-1.040750668257613,-1.1657896541126713,-1.1956419674187522,-0.28874999999999995,0.0,0.0
"(3, 3, False)",-1.5228523674722672,-1.4594553947719653,-1.6279526975967333,-1.3299180723697566,0.0,0.0
"(3, 4, False)",-1.7932048100905582,-1.61433104357367,-1.751471676154503,-1.5547555743360943,0.0,0.0
"(3, 5, False)",0.0,-1.0050496537109788,-1.1301817731017887,-1.0023550711865388,0.0,0.0
"(4, 1, False)",-0.27749999999999997,0.0,-0.857758242863828,0.0,0.0,0.0
"(4, 2, False)",-1.0060766529454042,-0.6456258398437499,-0.9910878751597705,-0.88303324197184,0.0,0.0
"(4, 3, False)",-1.4185415358461029,-1.4302296759830473,-0.7900931318881527,-1.4531936843818813,0.0,0.0
"(4, 4, False)",-1.7765391715778671,-1.7300092415491775,-1.5834037530879859,-1.815589167503456,0.0,0.0
"(4, 5, False)",0.0,-1.1029576452315089,-1.1111491375164548,-1.0587290400027363,0.0,0.0
"(5, 1, False)",-0.27749999999999997,0.0,0.0,0.0,0.0,0.0
"(5, 2, False)",-0.9670543985781628,0.0,0.0,0.0,0.0,0.0
"(5, 3, False)",-1.0801616361240745,-0.8743639221338259,-1.0100624855591898,0.0,0.0,0.0
"(5, 4, False)",-1.0302189813984894,-1.0167858812846369,-1.0158263184326812,0.0,0.0,7.2101746874999995
"(5, 5, False)",0.0,-0.9990773992449105,-0.857758242863828,0.0,0.0,0.0
