"State (x, y, carrying)",North,South,East,West,Pickup,Dropoff
"(1, 1, True)",0.0,0.0,0.0,-0.972319359375,0.0,0.0
"(1, 2, True)",0.0,-0.45,0.0,-0.8336250000000001,0.0,0.0
"(1, 3, True)",-0.6975,-0.45,0.0,-0.8336250000000001,0.0,0.0
"(1, 4, True)",-0.994809375,0.0,0.0,-0.972319359375,0.0,0.0
"(1, 5, True)",0.0,-0.90849375,0.0,-0.9974670483788086,0.0,0.0
"(2, 1, True)",-1.3952556061292725,0.0,0.0,-1.243568315780917,0.0,0.0
"(2, 2, True)",-1.12984453125,-1.6296609416122738,-1.3294670917954885,-1.5565007522874297,0.0,0.0
"(2, 3, True)",-1.114798036156128,-1.5018047921013795,0.0,-0.9346042265625,0.0,0.0
"(2, 4, True)",-1.685551296938794,-1.5676769500708008,-1.2586588857421874,-1.6292978104461255,0.0,0.0
"(2, 5, True)",0.0,-1.05658498828125,-1.1228057977358277,-1.0487690352323493,12.714149933606729,0.0
"(3, 1, True)",-1.1775150413259912,0.0,-1.046613955078125,-1.1450119538452148,0.0,0.0
"(3, 2, True)",-1.6658246650156527,-1.583556464131903,-1.5687571321582305,-1.7702783427945472,0.0,0.0
"(3, 3, True)",-1.670702566823974,-1.418289600465088,-1.3670598458669128,-1.6377496600097736,0.0,0.0
"(3, 4, True)",-1.731125030788495,-1.4603293258762897,-1.7399858389376057,-1.7481243881752662,0.0,0.0
"(3, 5, True)",0.0,-1.0151498526884235,-1.3250185715577256,-1.4533174374279787,0.0,0.0
"(4, 1, True)",-1.034884074699756,0.0,-1.4577795060971375,-1.2962335179314575,0.0,0.0
"(4, 2, True)",-1.440946358318724,-1.743591981199528,-1.614937824370034,-1.6310907199415148,12.307124669441034,0.0
"(4, 3, True)",-0.82153125,-1.22281171875,-1.3703587235843235,-1.06903125,0.0,0.0
"(4, 4, True)",-1.1905728706210028,-1.1085292476844986,-1.0672657257889735,0.0,0.0,0.0
"(4, 5, True)",0.0,-1.0303682425262308,-1.0834368813598096,-0.7987500000000001,0.0,0.0
"(5, 1, True)",-0.98477564765625,0.0,-0.9496715625,0.0,12.3457303125,0.0
"(5, 2, True)",-0.90849375,-1.038843413973633,-1.1057225443310084,0.0,0.0,0.0
"(5, 3, True)",-0.45,-0.989871401953125,-0.6975,0.0,0.0,0.0
"(5, 4, True)",-0.6975,-0.8336250000000001,-0.6975,0.0,0.0,0.0
"(5, 5, True)",0.0,0.0,-0.90849375,0.0,0.0,0.0
