"State (x, y, carrying)",North,South,East,West,Pickup,Dropoff
"(1, 1, False)",-0.9999999999999996,0.0,0.0,-0.9999999999999996,0.0,12.999999999999996
"(1, 1, True)",-0.9999999938312649,0.0,0.0,-0.9999999999999836,0.0,0.0
"(1, 2, False)",-1.0042434849014559,-1.064265813368028,0.0,-0.9999999999999996,0.0,0.0
"(1, 2, True)",-1.0249660195788757,-0.8319300000000001,0.0,-0.9999999999999996,0.0,0.0
"(1, 3, False)",-1.0974322736769357,-1.0003287077308516,0.0,-0.9999999999999996,0.0,12.979476418351734
"(1, 3, True)",-1.020613427290528,-1.0466393871168804,0.0,-0.9999999999999971,0.0,0.0
"(1, 4, False)",-1.291493695824941,-1.0270408322459075,0.0,-0.9999999999999996,0.0,0.0
"(1, 4, True)",-1.073500019974758,-1.0020998241815544,0.0,-0.9999999999999996,0.0,0.0
"(1, 5, False)",0.0,-0.9999999999999996,0.0,-0.9999999999999996,0.0,0.0
"(1, 5, True)",0.0,-0.9999999999999996,0.0,-0.9999999999999996,0.0,0.0
"(2, 1, False)",-0.9999999999999996,0.0,-1.0046608486077782,-1.0064043542589207,0.0,0.0
"(2, 1, True)",-0.9999999999999996,0.0,-1.1842496699972773,-1.0013194057163302,0.0,0.0
"(2, 2, False)",-1.999999999985199,-1.9999999999837794,-1.9999999999836493,-1.9999999999710711,0.0,0.0
"(2, 2, True)",-1.9998224157414857,-1.9998210474623426,-1.9998231316766464,-1.9998040489179723,0.0,0.0
"(2, 3, False)",-1.9999999998656615,-1.999999999865965,-1.9999999998784852,-1.9999999997820044,0.0,0.0
"(2, 3, True)",-1.998182700505589,-1.997527772145712,-1.9970445786442557,-1.9981507774188518,0.0,0.0
"(2, 4, False)",-1.9999999851319368,-1.999999990736116,-1.9999999918988647,-1.9999999909123607,0.0,0.0
"(2, 4, True)",-1.9999848885371168,-1.9999902066886774,-1.9999854125362306,-1.9999912967359803,0.0,0.0
"(2, 5, False)",0.0,-0.9999999999999996,-1.0177926868979061,-1.0424685661484694,0.0,0.0
"(2, 5, True)",0.0,-0.9999999999999996,-1.0000140812205074,-1.0795657315590383,12.999287865760671,0.0
"(3, 1, False)",-0.9999999999999996,0.0,-1.1658275395710005,-1.0521225213585363,0.0,0.0
"(3, 1, True)",-0.9999999999999996,0.0,-1.0467087783620497,-1.0023203813528192,0.0,0.0
"(3, 2, False)",-1.9999937256237819,-1.9999944880187264,-1.999994143382184,-1.9999921725955945,0.0,0.0
"(3, 2, True)",-1.999999708913228,-1.999999677141465,-1.9999997230699806,-1.9999997201818926,0.0,0.0
"(3, 3, False)",-1.9999999988693884,-1.999999999097366,-1.9999999988543296,-1.9999999980585552,0.0,0.0
"(3, 3, True)",-1.9999997551013147,-1.9999996831083229,-1.9999996945819363,-1.9999997602809736,0.0,0.0
"(3, 4, False)",-1.9999999994850044,-1.99999999962777,-1.9999999995648674,-1.9999999993578328,0.0,0.0
"(3, 4, True)",-1.9999998694688979,-1.999999851723767,-1.9999998169934778,-1.9999998726649546,0.0,0.0
"(3, 5, False)",0.0,-0.9999999999999996,-1.000055435384311,-1.0849671130526817,0.0,0.0
"(3, 5, True)",0.0,-0.9999999999999996,-1.0000000027159996,-1.01492783346352,0.0,0.0
"(4, 1, False)",-0.9999999999999996,0.0,-1.0796741705046429,-1.0005319811879116,0.0,0.0
"(4, 1, True)",-0.9999999999999996,0.0,-1.0000846422591991,-1.0032148728892585,0.0,0.0
"(4, 2, False)",-1.4865270364016228,-1.426970920068601,-1.6355870431275763,-1.7418468791918365,0.0,0.0
"(4, 2, True)",-1.9999999956495538,-1.9999999954419514,-1.9999999968918205,-1.9999999962233537,12.000000012129107,0.0
"(4, 3, False)",-1.999997683106808,-1.99999626002686,-1.999997305748173,-1.9999971234372813,0.0,0.0
"(4, 3, True)",-1.999999750991733,-1.99999983061377,-1.9999998082529946,-1.9999998357087039,0.0,0.0
"(4, 4, False)",-1.9999999985766592,-1.9999999981278704,-1.9999999984200498,-1.9999999988825656,0.0,0.0
"(4, 4, True)",-1.9999973547306387,-1.9999958879016195,-1.999997133363864,-1.9999960113459836,0.0,0.0
"(4, 5, False)",0.0,-0.9999999999999996,-1.0874794971370318,-1.0000000000001803,0.0,0.0
"(4, 5, True)",0.0,-0.9999999999999996,-1.000917406221569,-1.0000024479681116,0.0,0.0
"(5, 1, False)",-0.9999999999999996,0.0,-0.9999999999999996,0.0,0.0,0.0
"(5, 1, True)",-0.9999999999999996,0.0,-0.9999999999999996,0.0,12.999999999999996,0.0
"(5, 2, False)",-1.1195346451182744,-1.0021229503580433,-0.999999999999716,0.0,0.0,0.0
"(5, 2, True)",-1.0176747759041744,-1.000398090723833,-0.9999999999999996,0.0,0.0,0.0
"(5, 3, False)",-1.0017596553840646,-1.004299404888183,-0.9999999999999996,0.0,0.0,0.0
"(5, 3, True)",-1.000001815784087,-1.0000002220765636,-0.9999999999999996,0.0,0.0,0.0
"(5, 4, False)",-1.0000023666957558,-1.0035637500131516,-0.9999999999999996,0.0,0.0,12.999874287606195
"(5, 4, True)",-1.0000083615112711,-1.0000043604915454,-0.9999999999999996,0.0,0.0,0.0
"(5, 5, False)",0.0,-0.9999999999999996,-0.9999999999999996,0.0,0.0,0.0
"(5, 5, True)",0.0,-0.9999999999998608,-0.9999999999999996,0.0,0.0,0.0
