"State (x, y, carrying)",North,South,East,West,Pickup,Dropoff
"(1, 1, False)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 1, True)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 2, False)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 2, True)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 3, False)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 3, True)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 4, False)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 4, True)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 5, False)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 5, True)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 1, False)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 1, True)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 2, False)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 2, True)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 3, False)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 3, True)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 4, False)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 4, True)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 5, False)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 5, True)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 1, False)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 1, True)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 2, False)",-0.3,0.0,0.0,0.0,0.0,0.0
"(3, 2, True)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 3, False)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 3, True)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 4, False)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 4, True)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 5, False)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 5, True)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 1, False)",0.0,0.0,-0.3,0.0,0.0,0.0
"(4, 1, True)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 2, False)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 2, True)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 3, False)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 3, True)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 4, False)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 4, True)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 5, False)",0.0,0.0,-0.3,0.0,0.0,0.0
"(4, 5, True)",0.0,0.0,0.0,0.0,0.0,0.0
"(5, 1, False)",0.0,0.0,0.0,0.0,0.0,0.0
"(5, 1, True)",0.0,0.0,0.0,0.0,0.0,0.0
"(5, 2, False)",0.0,0.0,0.0,0.0,0.0,0.0
"(5, 2, True)",0.0,0.0,0.0,0.0,0.0,0.0
"(5, 3, False)",0.0,0.0,0.0,0.0,0.0,0.0
"(5, 3, True)",0.0,0.0,0.0,0.0,0.0,0.0
"(5, 4, False)",0.0,0.0,0.0,0.0,0.0,0.0
"(5, 4, True)",0.0,0.0,0.0,0.0,0.0,0.0
"(5, 5, False)",0.0,0.0,0.0,0.0,0.0,0.0
"(5, 5, True)",0.0,0.0,0.0,0.0,0.0,0.0
